,company,rating_overall,rating_worklife,rating_compensation,rating_jobsec,rating_management,rating_jobculture,location,datereview,position,status,text,pros,cons,status_recoded,status_numeric,rating_overall_numeric,worklife_numeric,compensation_numeric,jobsec_numeric,management_numeric,jobculture_numeric,rating_worklife1,rating_compensation1,rating_jobsec1,rating_management1,rating_jobculture1
10,SAIC,3.0,60.0,80.0,40.0,60.0,60.0,"Ridgecrest,  CA and Colorado Springs.","August 12, 2015",Sr. Cyber Security Analyst,(Former Employee),SAIC is a very good company. ,really good but expensive benies. Really interesting but technically challenging.,Many services shifted to employees and some elements of poor managemt.,0,0,3.0,60.0,80.0,40.0,60.0,60.0,60.0,80.0,40.0,60.0,60.0
11,SAIC,5.0,100.0,100.0,100.0,60.0,80.0,"Washington City, DC","December 28, 2016",Developer/Cyber Security Analyst,(Current Employee),Good work life balance with a thoughtful manager. Engaging and challenging work with a number of clients across every major government agency.,NaN,"Bad PM, Bad Experience",1,1,5.0,100.0,100.0,100.0,60.0,80.0,100.0,100.0,100.0,60.0,80.0
12,SAIC,3.0,60.0,40.0,40.0,40.0,40.0,"Huntsville, AL 35803","July 26, 2016",Cyber Security Analyst,(Current Employee),Cyber analyst,itsajob,managers have a hard time communicating,1,1,3.0,60.0,40.0,40.0,40.0,40.0,60.0,40.0,40.0,40.0,40.0
13,SAIC,4.0,80.0,80.0,80.0,80.0,80.0,"Washington City, DC","November 7, 2016",CYBER SECURITY ANALYST PRINCIPAL,(Current Employee),Good company to work for.  Managers take care of their people.  Great opportunities for networking within and outside of the company.  Lots of opportunities to change work locations to move around.,Number of days of leave,Limited opportunities for training,1,1,4.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
14,SAIC,4.0,80.0,80.0,80.0,80.0,80.0,"Marshall, AL","November 15, 2016",CYBER SECURITY ANALYST,(Former Employee),"nothing out of the ordinary, good work environment, fellow employees were friendly, helpful and professional, work location was close to the house and flexible.",employment,laid-off,0,0,4.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
0,Engility,3.0,60.0,80.0,60.0,80.0,80.0,VA,"November 30, 2018",Senior Cyber Security Engineer,(Current Employee),"Good company benefits but, lots of additional duties outside your statement of work.  You end up being multiple positions titles so its like having two jobs but being paid for the primary one hired for.",NaN,NaN,1,1,3.0,60.0,80.0,60.0,80.0,80.0,60.0,80.0,60.0,80.0,80.0
1,Engility,5.0,100.0,100.0,60.0,100.0,100.0,"San Antonio, TX","December 19, 2017",Cyber Security Analyst,(Current Employee),Engility is a great place to be part of a team committed to our National Security Objectives.  The company has taken the time to invest in training and education of our team with a goal of providing the best support to the mission partner.,NaN,NaN,1,1,5.0,100.0,100.0,60.0,100.0,100.0,100.0,100.0,60.0,100.0,100.0
2,Engility,5.0,100.0,100.0,100.0,100.0,100.0,"Chantilly, VA","January 16, 2017",Cyber Security &amp; Vulnerability Manager,(Current Employee),Worked with cutting edge technologies.  always challenged by managers to develop leading edge secure systems for our customers.  ,great leadership,NaN,1,1,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0,Booz Allen Hamilton,3.0,60.0,40.0,20.0,80.0,100.0,"Washington, DC","June 5, 2015",Cyber Security Analyst / Cyber Targeter,(Current Employee),"I&#39;ve been with Booz for 4 years in October.  What can I say, the industry is changing and Booz has had to change with it.  They don&#39;t offer the robust retirement packages that they used to, but they do give you something.  Excellent if you&#39;re entering the work force from college or military.  If you don&#39;t make Lead Associate in 5 years, it&#39;s time to move on.  Think of it as a stepping stone; but absolutely put everything you have into it.  It MAY &quot;pan - out&quot; for you; as it has for many of my colleagues.  If you have a skill or passion for something that higher management deems a &quot;new business vector,&quot; GET INVOLVED!  Volunteer to write proposals and do what it takes to get new business.  You can promote in as few as 3 years is you are ambitious/ have skills in the right thing.  ","Awesome people to work with, young crowd, free coffee at the Booz offices","you will never see the Booz offices because you will be sitting at the client location, health benefits are absolutely terrible, health care choices are Kaiser or some form of Aetna with a $6K anual out of pocket, I support a family of 4 kids so I&#39;m actually looking because I can&#39;t afford the insurance",1,1,3.0,60.0,40.0,20.0,80.0,100.0,60.0,40.0,20.0,80.0,100.0
1,Booz Allen Hamilton,5.0,100.0,80.0,80.0,80.0,80.0,"Herndon, VA","December 11, 2018",Cyber Security Operations Engineer,(Current Employee),"An outstanding company to work for, work is rewarding, Compensation is great. people are great. If you are a hard charger Booz allen Hamilton is rewarding.",Training,NaN,1,1,5.0,100.0,80.0,80.0,80.0,80.0,100.0,80.0,80.0,80.0,80.0
2,Booz Allen Hamilton,5.0,100.0,40.0,100.0,100.0,100.0,"Colorado Springs, CO","October 24, 2018","Senior Consultant, Cyber Security Sol Eng/Arch Mid",(Former Employee),Management is great. Work environment is great. Office spaces are nice and clean and quiet. Everyone is very professional. The best company I have ever worked for. They interact well with customers. The pay is not great however.,"Management, co-workers, education benefit, room to move, opportunity to promote.",Terrible pay. Healthcare coverage cost could be better.,0,0,5.0,100.0,40.0,100.0,100.0,100.0,100.0,40.0,100.0,100.0,100.0
3,Booz Allen Hamilton,4.0,80.0,60.0,60.0,40.0,60.0,"San Diego, CA","August 20, 2018",Cyber Security Engineer,(Former Employee),Booz Allen has great management support from the home office for employees located at client sites.  Questions are answered quickly and the entire Booz Allen network is geared toward helping employees to be successful.,"Good Support System, They try to convey a feeling of teamwork",Compensation may not be as good at other places,0,0,4.0,80.0,60.0,60.0,40.0,60.0,80.0,60.0,60.0,40.0,60.0
4,Booz Allen Hamilton,4.0,80.0,60.0,80.0,100.0,80.0,"Arlington, VA","May 3, 2018",Cyber Security Analyst,(Current Employee),Good company to work for. Many open positions to apply to and great management. I have a great management home team that has helped me grow in my field.,NaN,NaN,1,1,4.0,80.0,60.0,80.0,100.0,80.0,80.0,60.0,80.0,100.0,80.0
5,Booz Allen Hamilton,4.0,80.0,100.0,80.0,80.0,80.0,"McLean, VA","February 16, 2018",Cyber Security Tester,(Current Employee),"I&#39;ve worked at BAH for over 7 years and it&#39;s been one of the most rewarding experiences I&#39;ve had. While there are drawbacks, there are drawbacks in every job. One cool thing about BAH is that if you want a change, you can usually find another team to that has something new and interesting going on.","Free coffee, work from home opportunities","Talkers are prompted quickly while introverts tend to get overlooked, you bring in business for your boss not yourself",1,1,4.0,80.0,100.0,80.0,80.0,80.0,80.0,100.0,80.0,80.0,80.0
6,Booz Allen Hamilton,4.0,80.0,60.0,100.0,100.0,100.0,"Rockville, MD","January 30, 2018",CDM Cyber Security Operations Engineer,(Current Employee),The environment will push you beyond your comfort zone. Must be a team player. Be willing to learn to consult for different clients and transfer to the company&#39;s capabilities,"Job security, great mentorship program, ability to grow your career in any field","Sometimes long hours, having to work outside of your area",1,1,4.0,80.0,60.0,100.0,100.0,100.0,80.0,60.0,100.0,100.0,100.0
7,Booz Allen Hamilton,4.0,80.0,80.0,80.0,80.0,80.0,"Atlanta, GA","October 29, 2017",Sr. Cyber-Security Threat Analyst,(Current Employee),"no complaints about this company, great firm to work at. the company look for you to advance and what to see you advance in your career. they believe in people.",NaN,NaN,1,1,4.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
8,Booz Allen Hamilton,4.0,80.0,60.0,60.0,40.0,60.0,"Chantilly, VA","July 12, 2017",Cyber Security Analyst,(Current Employee),Client focused organization- experience is shaped by management team. Medical and healthcare benefits are not as competitive as they once were years ago.,NaN,NaN,1,1,4.0,80.0,60.0,60.0,40.0,60.0,80.0,60.0,60.0,40.0,60.0
9,Booz Allen Hamilton,4.0,80.0,80.0,60.0,80.0,80.0,"North Charleston, SC","August 8, 2016",Cyber Security Engineer,(Current Employee),"Enjoyed my 5+ years working for cyber security tasks for various clients.  Booz Allen management and culture are very professional and attentive to employee needs, desires, etc.",NaN,NaN,1,1,4.0,80.0,80.0,60.0,80.0,80.0,80.0,80.0,60.0,80.0,80.0
10,Booz Allen Hamilton,4.0,80.0,60.0,100.0,60.0,60.0,"Dahlgren, VA","May 25, 2016",Cyber Security Operations Engineer,(Former Employee),Good company. Job security. There is always a new open position for internal hire. Will keep you on overhead if contract ends. ,"parties, benefits","Bts, meetings, lateral pay moves",0,0,4.0,80.0,60.0,100.0,60.0,60.0,80.0,60.0,100.0,60.0,60.0
11,Booz Allen Hamilton,5.0,100.0,100.0,100.0,100.0,100.0,South Carolina,"April 28, 2016",Cyber Security Engineer,(Current Employee),This company is a great starting point for entry into the life of a consultant.  Great salary and excellent benefits.  The technical skills of the employees is unmatched.,NaN,NaN,1,1,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
12,Booz Allen Hamilton,4.0,80.0,80.0,80.0,80.0,80.0,"Houston, TX","April 21, 2016",Lead Associate - SME Cyber Security ICS,(Current Employee),Good pay and benefits. Focus on new cyber security issues in Industrial Control environments creates opportunity to build out a new service.,Working with great people with excellent skills,Corporation focus on short term billable goals creates culture of fear for job stability.,1,1,4.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
13,Booz Allen Hamilton,5.0,100.0,0.0,60.0,60.0,60.0,"Panama City, FL","April 24, 2014",Cyber Security Validation Analyst,(Current Employee),Competitive environment!,NaN,NaN,1,1,5.0,100.0,0.0,60.0,60.0,60.0,100.0,NaN,60.0,60.0,60.0
14,Booz Allen Hamilton,5.0,100.0,100.0,100.0,100.0,100.0,"McLean, VA","April 24, 2014",Lead Associate ( Cyber Security SME),(Current Employee),"Booz does management consulting. Management consulting, the practice of helping organizations to improve their performance, operates primarily through the analysis of existing organizational problems and the development of plans for improvement. Organizations may draw upon the services of management consultants for a number of reasons, including gaining external (and presumably objective) advice and access to the consultants&#39; specialized expertise.",Salaries.,Hours,1,1,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
15,Booz Allen Hamilton,3.0,60.0,0.0,0.0,0.0,0.0,"New Orleans, LA","January 28, 2014",Cyber Security Engineer,(Former Employee),Booz Allen Hamilton was a great company to work for. I have nothing bad to say about Booz Allen. I only left the company in order to stay with the customer that I had been working with and to allow my family to stay in the same location for more longer than two years after getting out of the Marine Corps.,NaN,NaN,0,0,3.0,60.0,0.0,0.0,0.0,0.0,60.0,NaN,NaN,NaN,NaN
16,Booz Allen Hamilton,4.0,80.0,0.0,0.0,0.0,0.0,"Huntsville, AL","September 10, 2013",Cyber Security Analyst,(Current Employee),Nice place to work. I enjoy spending time with my work mates.,NaN,NaN,1,1,4.0,80.0,0.0,0.0,0.0,0.0,80.0,NaN,NaN,NaN,NaN
17,Booz Allen Hamilton,3.0,60.0,80.0,40.0,60.0,100.0,"Huntsville, AL","September 4, 2013",Sr. Cyber Security Analyst/Project Support,(Current Employee),"As a Senior Information Assurance Cyber Security Professional with 18 years’ experience working in critical program enclaves and test environments, I have overseen, evaluated, and developed the documentation, validation, certification and accreditation (C&amp;A) processes necessary to assure that new information technology (IT) systems meet the organization’s requirements.",The ability for promotion.,Contract instability.,1,1,3.0,60.0,80.0,40.0,60.0,100.0,60.0,80.0,40.0,60.0,100.0
18,Booz Allen Hamilton,4.0,80.0,0.0,0.0,0.0,0.0,Herdon VA,"May 23, 2012",Member of the Information Security,(Current Employee),"Booz Allen Hamilton is a excellent firm to work for. Benefits are good excellent ethics program, salary and compensation",NaN,NaN,1,1,4.0,80.0,0.0,0.0,0.0,0.0,80.0,NaN,NaN,NaN,NaN
0,Northrop Grumman,4.0,80.0,80.0,60.0,60.0,80.0,"Falls Church, VA","November 20, 2018",Cyber Security Administrator,(Current Employee),I&#39;ve been with NGC for approximately 18 years.   I very much like the company and feel at home here.  Not too many opportunities for mid-career professionals.  Big push to hire and retain millennials.   Once you reach top of salary in your position  don&#39;t expect any raises or promotions.  Besides that overall great company to work for.,Work life balance; teleworking,No opportunity for advancement if you are mid-career,1,1,4.0,80.0,80.0,60.0,60.0,80.0,80.0,80.0,60.0,60.0,80.0
1,Northrop Grumman,4.0,80.0,80.0,60.0,60.0,80.0,"Annapolis Junction, MD","January 15, 2019",Cyber Security Engineer,(Former Employee),Northrop Grumman is more than a defense contractor and has grown IT services and technologies agressively since the early 2000&#39;s. In my experience Northrop did suffer from have non-technical managers leading engineers and developers especially in the IT segments of the company.  Northrop Grumman&#39;s Cyber services are also constantly changing which can be confusing to it&#39;s employees and perspective clients.,NaN,NaN,0,0,4.0,80.0,80.0,60.0,60.0,80.0,80.0,80.0,60.0,60.0,80.0
2,Northrop Grumman,4.0,80.0,80.0,80.0,80.0,80.0,"Linthicum, MD","December 26, 2018",Cyber Security Technical Intern,(Former Employee),I worked as a cyber security intern at the BWI campus. I was able to be exposed to new technologies which expanded my ability. All employees that I interacted with made themselves available to provide guidance for my career. I enjoyed my time here over the summer.,NaN,NaN,0,0,4.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
3,Northrop Grumman,5.0,100.0,100.0,100.0,100.0,100.0,"Huntsville, AL","August 14, 2017","Cyber Security Analyst II, Missile Defense Agency",(Current Employee),I really enjoying working for NGC and think that the environment that is fostered is really positive for the employee. The company offers competitive benefits and growth opportunities.,Growth,None,1,1,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4,Northrop Grumman,4.0,80.0,100.0,100.0,60.0,80.0,"Melbourne, FL","August 11, 2017",Information Security,(Former Employee),Northrop Grumman is one of the best companies to work for when it comes to IT. Plenty of expansion and growth and always something new and exciting projects to work on.,NaN,NaN,0,0,4.0,80.0,100.0,100.0,60.0,80.0,80.0,100.0,100.0,60.0,80.0
5,Northrop Grumman,5.0,100.0,80.0,100.0,60.0,80.0,"Landover, MD","April 28, 2017",Cyber Systems Security Engineer - PDAS,(Current Employee),"As a cyber systems security engineer, I am responsible for running continuous monitoring scans utilizing Nessus to find and analyze vulnerabilities in the system.",NaN,NaN,1,1,5.0,100.0,80.0,100.0,60.0,80.0,100.0,80.0,100.0,60.0,80.0
6,Northrop Grumman,5.0,100.0,80.0,80.0,80.0,80.0,"Herndon, VA","March 31, 2016",Cyber Security Analyst,(Current Employee),A great place to work with a generous benefits package.  I would recommend Northrop Grumman to anyone looking for a rewarding career in IT.,NaN,NaN,1,1,5.0,100.0,80.0,80.0,80.0,80.0,100.0,80.0,80.0,80.0,80.0
7,Northrop Grumman,4.0,80.0,60.0,80.0,80.0,80.0,"Fort Belvoir, Virginia","September 24, 2015",Senior Cyber Security Analyst,(Current Employee),"The work was challenging, but satisfying. Management was very supportive, and encourage professional growth and development.",NaN,NaN,1,1,4.0,80.0,60.0,80.0,80.0,80.0,80.0,60.0,80.0,80.0,80.0
8,Northrop Grumman,5.0,100.0,100.0,100.0,100.0,100.0,"Newport News, VA","June 4, 2015",Cyber Security Analyst/Engineer,(Current Employee),Everyone are true professionals and the atmosphere is always healthy. There is always someone willing to help you learn something new in our field of work. Our leadership is always available and willing to provide any guidance needed.,NaN,NaN,1,1,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9,Northrop Grumman,4.0,80.0,60.0,80.0,60.0,80.0,"Fort Belvoir, VA","February 12, 2015",CYBER FORENSIC SPECIALIST / CYBER SECURITY ANALYST,(Current Employee),"Great company, but roles are limited to contrating.  Great 401k only if you invest in it.  They always seem to be looking but they don&#39;t respond to your submissions.",NaN,NaN,1,1,4.0,80.0,60.0,80.0,60.0,80.0,80.0,60.0,80.0,60.0,80.0
10,Northrop Grumman,5.0,100.0,100.0,100.0,100.0,100.0,"Quantico, VA","January 7, 2015",Cyber Security Specialist,(Current Employee),typical day at work,NaN,NaN,1,1,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
11,Northrop Grumman,5.0,100.0,100.0,100.0,100.0,100.0,"Huntsville, AL","March 25, 2014",Cyber Security System Engineer,(Current Employee),Outstanding company to work for and being a member of a wining team. I have work for Northrop Grumman for 21 years on many part of the globe. I am very proud of this company and their products.,"Bonus, awards and personnel care",None,1,1,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
12,Northrop Grumman,3.0,60.0,60.0,60.0,60.0,60.0,"San Diego, CA","April 8, 2013",Cyber Security Engineer,(Current Employee),"Flexible Work Schedule, decent benefits. Just like most of the other defense contractors out there.",flexible work schedule,sometimes work long hours very little or usually no overtime pay.,1,1,3.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
0,ManTech International Corporation,5.0,100.0,60.0,60.0,60.0,80.0,Remote,"July 18, 2018",Sr Security Adminstrator,(Current Employee),"Easy transition from military service to contracting world. Company has outlined career paths which provides clear means to advance or seek experience in technical or management tracks. Opportunity for growth is there, but relocation may be necessary dending on the specific site needs.",Great employer of military veterans,Isolated work sites with minimal contact with other company collegues.,1,1,5.0,100.0,60.0,60.0,60.0,80.0,100.0,60.0,60.0,60.0,80.0
1,ManTech International Corporation,4.0,80.0,60.0,40.0,20.0,40.0,"Herndon, VA","November 6, 2018",Cyber Security Intern,(Former Employee),A nice place to work that offers plenty of opportunities to work on interesting projects as well as work with pleasant people. Overall it was an eye-opening experience.,NaN,NaN,0,0,4.0,80.0,60.0,40.0,20.0,40.0,80.0,60.0,40.0,20.0,40.0
